Seller_id,Seller_zipcode_prefix,Seller_city,Seller_state
SELLER_0000,13023,campinas,SP
SELLER_0001,13844,mogi guacu,SP
SELLER_0002,12914,braganca paulista,SP
SELLER_0003,20920,rio de janeiro,RJ
SELLER_0004,55325,brejao,PE
SELLER_0005,16304,penapolis,SP
SELLER_0006,1529,sao paulo,SP
SELLER_0007,80310,curitiba,PR
SELLER_0008,75110,anapolis,GO
SELLER_0009,13530,itirapina,SP
SELLER_0010,1222,sao paulo,SP
SELLER_0011,88705,tubarao,SC
SELLER_0012,42738,lauro de freitas,BA
SELLER_0013,88780,imbituba,SC
SELLER_0014,70740,brasilia,DF
SELLER_0015,45810,porto seguro,BA
SELLER_0016,5138,sao paulo,SP
SELLER_0017,11440,guaruja,SP
SELLER_0018,14910,tabatinga,SP
SELLER_0019,4156,sao paulo,SP
SELLER_0020,13320,salto,SP
SELLER_0021,98910,tres de maio,RS
SELLER_0022,30494,belo horizonte,MG
SELLER_0023,9850,sao bernardo do campo,SP
SELLER_0024,4857,sao paulo,SP
SELLER_0025,18500,tatui,SP
SELLER_0026,80210,curitiba,PR
SELLER_0027,2261,sao paulo,SP
SELLER_0028,88495,garopaba,SC
SELLER_0029,3562,sao paulo,SP
SELLER_0030,37650,camanducaia,MG
SELLER_0031,17602,tupa,SP
SELLER_0032,7241,guarulhos,SP
SELLER_0033,3445,sao paulo,SP
SELLER_0034,4133,sao paulo,SP
SELLER_0035,72233,brasilia,DF
SELLER_0036,70645,brasilia,DF
SELLER_0037,88730,sao ludgero,SC
SELLER_0038,88075,sao jose,SC
SELLER_0039,13416,piracicaba,SP
SELLER_0040,90850,porto alegre,RS
SELLER_0041,37584,congonhal,MG
SELLER_0042,31555,belo horizonte,MG
SELLER_0043,9251,santo andre,SP
SELLER_0044,4705,sao paulo,SP
SELLER_0045,6144,osasco,SP
SELLER_0046,13270,valinhos,SP
SELLER_0047,89214,joinville,SC
SELLER_0048,11446,guaruja,SP
SELLER_0049,28990,saquarema,RJ
SELLER_0050,88390,barra velha,SC
SELLER_0051,25730,petropolis,RJ
SELLER_0052,95500,santo antonio da patrulha,RS
SELLER_0053,84010,ponta grossa,PR
SELLER_0054,6544,santana de parnaiba,SP
SELLER_0055,9121,santo andre,SP
SELLER_0056,13568,sao carlos,SP
SELLER_0057,6056,osasco,SP
SELLER_0058,14940,ibitinga,SP
SELLER_0059,5741,sao paulo,SP
SELLER_0060,83010,sao jose dos pinhais,PR
SELLER_0061,3702,sao paulo,SP
SELLER_0062,6429,barueri,SP
SELLER_0063,3569,sao paulo,SP
SELLER_0064,89207,joinville,SC
SELLER_0065,38440,araguari,MG
SELLER_0066,32180,contagem,MG
SELLER_0067,89258,jaragua do sul,SC
SELLER_0068,14940,ibitinga,SP
SELLER_0069,9715,sao bernardo do campo,SP
SELLER_0070,88501,lages - sc,SC
SELLER_0071,95711,bento goncalves,RS
SELLER_0072,9400,ribeirao pires,SP
SELLER_0073,4726,sao paulo,SP
SELLER_0074,14882,jaboticabal,SP
SELLER_0075,19830,echapora,SP
SELLER_0076,6713,cotia,SP
SELLER_0077,89160,rio do sul,SC
SELLER_0078,4275,sao paulo,SP
SELLER_0079,18040,sorocaba,SP
SELLER_0080,21235,rio de janeiro,RJ
SELLER_0081,14850,pradopolis,SP
SELLER_0082,22420,rio de janeiro,RJ
SELLER_0083,1125,sao paulo,SP
SELLER_0084,24813,itaborai,RJ
SELLER_0085,5786,sao paulo,SP
SELLER_0086,15137,mirassol,SP
SELLER_0087,16200,birigui,SP
SELLER_0088,31730,belo horizonte,MG
SELLER_0089,20060,rio de janeiro,RJ
SELLER_0090,14940,ibitinga,SP
SELLER_0091,12401,sao paulo,SP
SELLER_0092,1425,sao paulo,SP
SELLER_0093,19803,assis,SP
SELLER_0094,13820,jaguariuna,SP
SELLER_0095,14801,araraquara,SP
SELLER_0096,27963,macae,RJ
SELLER_0097,13320,salto,SP
SELLER_0098,13504,rio claro,SP
SELLER_0099,86039,londrina,PR
SELLER_0100,5101,sao paulo,SP
SELLER_0101,14010,ribeirao preto,SP
SELLER_0102,37410,tres coracoes,MG
SELLER_0103,4248,sao paulo,SP
SELLER_0104,14940,ibitinga,SP
SELLER_0105,3514,sao paulo,SP
SELLER_0106,71070,brasilia,DF
SELLER_0107,1044,sao paulo,SP
SELLER_0108,70384,brasilia,DF
SELLER_0109,2310,sao paulo,SP
SELLER_0110,2016,sao paulo,SP
SELLER_0111,78095,cuiaba,MT
SELLER_0112,13575,sao carlos,SP
SELLER_0113,1040,sao paulo,SP
SELLER_0114,3322,sao paulo,SP
SELLER_0115,20261,rio de janeiro,RJ
SELLER_0116,85830,formosa do oeste,PR
SELLER_0117,23550,rio de janeiro,RJ
SELLER_0118,11085,santos,SP
SELLER_0119,3417,sao paulo,SP
SELLER_0120,76500,santa terezinha de goias,GO
SELLER_0121,8260,sao paulo,SP
SELLER_0122,95995,arvorezinha,RS
SELLER_0123,4674,sao paulo,SP
SELLER_0124,14020,ribeirao preto,SP
SELLER_0125,36525,guiricema,MG
SELLER_0126,95072,caxias do sul,RS
SELLER_0127,81030,curitiba,PR
SELLER_0128,40243,salvador,BA
SELLER_0129,9951,diadema,SP
SELLER_0130,8573,itaquaquecetuba,SP
SELLER_0131,18682,lencois paulista,SP
SELLER_0132,7091,guarulhos,SP
SELLER_0133,6341,carapicuiba,SP
SELLER_0134,76400,uruacu,GO
SELLER_0135,88301,itajai,SC
SELLER_0136,3280,sao paulo,SP
SELLER_0137,1545,sao paulo,SP
SELLER_0138,80620,curitiba,PR
SELLER_0139,87900,loanda,PR
SELLER_0140,3186,sao paulo,SP
SELLER_0141,19400,sao paulo,SP
SELLER_0142,2839,sao paulo,SP
SELLER_0143,87014,maringa,PR
SELLER_0144,1207,sao paulo,SP
SELLER_0145,1411,sao paulo,SP
SELLER_0146,30190,belo horizonte,MG
SELLER_0147,13481,limeira,SP
SELLER_0148,11040,santos,SP
SELLER_0149,6436,barueri,SP
SELLER_0150,2310,sao paulo,SP
SELLER_0151,35530,claudio,MG
SELLER_0152,14080,ribeirao preto,SP
SELLER_0153,24355,niteroi,RJ
SELLER_0154,17700,osvaldo cruz,SP
SELLER_0155,6380,carapicuiba,SP
SELLER_0156,6016,osasco,SP
SELLER_0157,24451,sao goncalo,RJ
SELLER_0158,88330,balenario camboriu,SC
SELLER_0159,4009,sao paulo,SP
SELLER_0160,89120,timbo,SC
SELLER_0161,14075,ribeirao preto,SP
SELLER_0162,5424,sao paulo,SP
SELLER_0163,99730,jacutinga,RS
SELLER_0164,60440,fortaleza,CE
SELLER_0165,7242,guarulhos,SP
SELLER_0166,7051,guarulhos,SP
SELLER_0167,8517,ferraz de  vasconcelos,SP
SELLER_0168,16800,mirandopolis,SP
SELLER_0169,89228,joinville,SC
SELLER_0170,17056,bauru,SP
SELLER_0171,12308,jacarei,SP
SELLER_0172,13304,itu,SP
SELLER_0173,85301,laranjeiras do sul,SP
SELLER_0174,3554,sao paulo,SP
SELLER_0175,89560,videira,SC
SELLER_0176,88058,florianopolis,SC
SELLER_0177,6853,itapecerica da serra,SP
SELLER_0178,58280,mamanguape,PB
SELLER_0179,8490,sao paulo,SP
SELLER_0180,35430,ponte nova,MG
SELLER_0181,87360,goioere,SP
SELLER_0182,17280,pederneiras,SP
SELLER_0183,6653,itapevi,SP
SELLER_0184,74563,goiania,GO
SELLER_0185,21820,rio de janeiro,RJ
SELLER_0186,1026,sao paulo,SP
SELLER_0187,3308,sao paulo,SP
SELLER_0188,95070,caxias do sul,RS
SELLER_0189,58400,campina grande,PB
SELLER_0190,93608,estancia velha,RS
SELLER_0191,27525,resende,RJ
SELLER_0192,89251,jaragua do sul,SC
SELLER_0193,2215,sao paulo,SP
SELLER_0194,5524,sao paulo,SP
SELLER_0195,22790,rio de janeiro,RJ
SELLER_0196,8041,sao paulo,SP
SELLER_0197,5715,sao paulo,SP
SELLER_0198,88032,florianopolis,SC
SELLER_0199,18055,sorocaba,SP
SELLER_0200,2112,sao paulo,SP
SELLER_0201,14075,ribeirao preto,SP
SELLER_0202,18048,sorocaba,SP
SELLER_0203,9336,maua,SP
SELLER_0204,17030,bauru,SP
SELLER_0205,17052,bauru,SP
SELLER_0206,30620,belo horizonte,MG
SELLER_0207,13327,salto,SP
SELLER_0208,74343,goiania,GO
SELLER_0209,35300,caratinga,MG
SELLER_0210,21240,rio de janeiro,RJ
SELLER_0211,14407,franca,SP
SELLER_0212,16500,cafelandia,SP
SELLER_0213,2518,sao paulo,SP
SELLER_0214,14050,ribeirao preto,SP
SELLER_0215,88730,sao ludgero,SC
SELLER_0216,36502,uba,MG
SELLER_0217,9751,sao bernardo do campo,SP
SELLER_0218,14940,ibitinga,SP
SELLER_0219,87035,maringa,PR
SELLER_0220,13064,campinas,SP
SELLER_0221,21020,rio de janeiro,RJ
SELLER_0222,13660,porto ferreira,SP
SELLER_0223,95660,tres coroas,RS
SELLER_0224,9080,santo andre,SP
SELLER_0225,89031,blumenau,SC
SELLER_0226,9110,santo andre,SP
SELLER_0227,9230,santo andre,SP
SELLER_0228,3951,sao paulo,SP
SELLER_0229,89070,blumenau,SC
SELLER_0230,11013,santos,SP
SELLER_0231,15155,jaci,SP
SELLER_0232,35530,claudio,MG
SELLER_0233,74045,goiania,GO
SELLER_0234,18500,laranjal paulista,SP
SELLER_0235,18048,sorocaba,SP
SELLER_0236,1126,sao paulo,SP
SELLER_0237,13478,americana,SP
SELLER_0238,2739,sao paulo,SP
SELLER_0239,20921,rio de janeiro,RJ
SELLER_0240,86170,sertanopolis,SP
SELLER_0241,14940,ibitinga,SP
SELLER_0242,86808,apucarana,PR
SELLER_0243,15046,sao jose do rio preto,SP
SELLER_0244,22230,rio de janeiro,RJ
SELLER_0245,4102,sao paulo,SP
SELLER_0246,16301,penapolis,SP
SELLER_0247,24020,niteroi,RJ
SELLER_0248,89204,joinville,SC
SELLER_0249,83408,colombo,PR
SELLER_0250,11450,vicente de carvalho,SP
SELLER_0251,26562,mesquita,RJ
SELLER_0252,86010,londrina,PR
SELLER_0253,88056,florianopolis,SC
SELLER_0254,30550,belo horizonte,MG
SELLER_0255,2820,sao paulo,SP
SELLER_0256,85802,cascavel,PR
SELLER_0257,83830,fazenda rio grande,PR
SELLER_0258,1550,sao paulo,SP
SELLER_0259,22783,rio de janeiro,RJ
SELLER_0260,81070,curitiba,PR
SELLER_0261,4716,sao paulo,SP
SELLER_0262,12233,sao jose dos campos,SP
SELLER_0263,7084,guarulhos,SP
SELLER_0264,3384,sao paulo,SP
SELLER_0265,85903,toledo,PR
SELLER_0266,82510,curitiba,PR
SELLER_0267,15081,sao jose do rio preto,SP
SELLER_0268,8411,sao paulo,SP
SELLER_0269,17047,bauru,SP
SELLER_0270,11045,santos,SP
SELLER_0271,85960,marechal candido rondon,SP
SELLER_0272,80010,curitiba,PR
SELLER_0273,8710,mogi das cruzes,SP
SELLER_0274,91130,porto alegre,RS
SELLER_0275,12238,sao jose dos campos,SP
SELLER_0276,6236,osasco,SP
SELLER_0277,13203,jundiai,SP
SELLER_0278,83800,mandirituba,PR
SELLER_0279,3551,sao paulo,SP
SELLER_0280,8655,suzano,SP
SELLER_0281,33200,vespasiano,MG
SELLER_0282,80040,curitiba,PR
SELLER_0283,1417,sao paulo,SP
SELLER_0284,98780,santa rosa,RS
SELLER_0285,15015,sao jose do rio preto,SP
SELLER_0286,14600,sao joaquim da barra,SP
SELLER_0287,5125,sao paulo,SP
SELLER_0288,81050,curitiba,PR
SELLER_0289,13830,santo antonio de posse,SP
SELLER_0290,1212,sao paulo,SP
SELLER_0291,97502,uruguaiana,RS
SELLER_0292,80215,curitiba,PR
SELLER_0293,6703,cotia,SP
SELLER_0294,13480,limeira,SP
SELLER_0295,37400,campanha,MG
SELLER_0296,14940,ibitinga,SP
SELLER_0297,4811,sao paulo,SP
SELLER_0298,75640,piracanjuba,GO
SELLER_0299,3306,sao paulo,SP
SELLER_0300,95034,caxias do sul,RS
SELLER_0301,30640,belo horizonte,MG
SELLER_0302,89701,concordia,SC
SELLER_0303,2880,sao paulo,SP
SELLER_0304,3688,sao paulo,SP
SELLER_0305,37540,santa rita do sapucai,MG
SELLER_0306,81925,curitiba,PR
SELLER_0307,6246,osasco,SP
SELLER_0308,80240,curitiba,PR
SELLER_0309,14780,barretos,SP
SELLER_0310,26525,nilopolis,RJ
SELLER_0311,17580,pompeia,SP
SELLER_0312,44895,barro alto,BA
SELLER_0313,13840,mogi guacu,SP
SELLER_0314,4557,saÌƒo paulo,SP
SELLER_0315,4311,sao paulo,SP
SELLER_0316,11702,praia grande,SP
SELLER_0317,14406,franca,SP
SELLER_0318,22783,rio de janeiro,SP
SELLER_0319,89128,luiz alves,SC
SELLER_0320,2036,sao paulo,SP
SELLER_0321,6038,osasco,SP
SELLER_0322,88351,brusque,SC
SELLER_0323,88804,criciuma,SC
SELLER_0324,5729,sao paulo,SP
SELLER_0325,6519,santana de parnaiba,SP
SELLER_0326,89222,joinville,SC
SELLER_0327,2252,sao paulo,SP
SELLER_0328,7179,guarulhos,SP
SELLER_0329,31050,belo horizonte,MG
SELLER_0330,13480,limeira,SP
SELLER_0331,15805,catanduva,SP
SELLER_0332,89052,blumenau,SC
SELLER_0333,31255,belo horizonte,MG
SELLER_0334,15704,jales,SP
SELLER_0335,20270,rio de janeiro,RJ
SELLER_0336,86060,londrina,PR
SELLER_0337,27321,barra mansa,RJ
SELLER_0338,5632,sao paulo,SP
SELLER_0339,3161,sao paulo,SP
SELLER_0340,4782,sao paulo,SP
SELLER_0341,14403,franca,SP
SELLER_0342,87013,maringa,PR
SELLER_0343,9405,ribeirao pires,SP
SELLER_0344,2310,sao paulo,SP
SELLER_0345,4363,sao paulo,SP
SELLER_0346,1539,sao paulo,SP
SELLER_0347,13560,sao carlos,SP
SELLER_0348,2238,sao paulo,SP
SELLER_0349,15055,sao jose do rio preto,SP
SELLER_0350,82220,curitiba,PR
SELLER_0351,17520,marilia,SP
SELLER_0352,3060,sao paulo,SP
SELLER_0353,9443,ribeirao pires,SP
SELLER_0354,14096,ribeirao preto,SP
SELLER_0355,48602,bahia,BA
SELLER_0356,91740,porto alegre,RS
SELLER_0357,86047,londrina,PR
SELLER_0358,12020,taubate,SP
SELLER_0359,85802,cascavael,PR
SELLER_0360,1320,sao paulo,SP
SELLER_0361,12250,monteiro lobato,SP
SELLER_0362,81250,curitiba,PR
SELLER_0363,7145,guarulhos,SP
SELLER_0364,88107,sao jose,SC
SELLER_0365,13730,mococa,SP
SELLER_0366,18130,sao roque,SP
SELLER_0367,37900,passos,MG
SELLER_0368,14940,ibitinga,SP
SELLER_0369,85603,francisco beltrao,PR
SELLER_0370,3821,sao paulo,SP
SELLER_0371,36512,tocantins,SP
SELLER_0372,76400,uruacu,GO
SELLER_0373,87083,maringa,PR
SELLER_0374,74473,goiania,GO
SELLER_0375,21931,rio de janeiro,RJ
SELLER_0376,14055,ribeirao preto,SP
SELLER_0377,88210,porto belo,SC
SELLER_0378,13105,campinas,SP
SELLER_0379,26255,nova iguacu,RJ
SELLER_0380,3343,sao paulo,SP
SELLER_0381,17512,marilia,SP
SELLER_0382,88820,icara,SC
SELLER_0383,3543,sao paulo,SP
SELLER_0384,95910,lajeado,RS
SELLER_0385,3694,sao paulo,SP
SELLER_0386,3029,sao paulo,SP
SELLER_0387,37540,santa rita do sapucai,MG
SELLER_0388,13042,campinas,SP
SELLER_0389,1201,sao paulo,SP
SELLER_0390,9230,santo andre,SP
SELLER_0391,88359,brusque,SC
SELLER_0392,98920,horizontina,RS
SELLER_0393,4364,sao paulo,SP
SELLER_0394,3416,sao paulo,SP
SELLER_0395,9350,maua,SP
SELLER_0396,1214,sao paulo,SP
SELLER_0397,9220,santo andre,SP
SELLER_0398,18110,votorantim,SP
SELLER_0399,35530,claudio,MG
SELLER_0400,93700,campo bom,RS
SELLER_0401,3659,sao paulo,SP
SELLER_0402,1123,sao paulo,SP
SELLER_0403,15910,monte alto,SP
SELLER_0404,3103,sao paulo,SP
SELLER_0405,14078,ribeirao preto,SP
SELLER_0406,15601,fernandopolis,SP
SELLER_0407,17500,marilia,SP
SELLER_0408,84010,ponta grossa,PR
SELLER_0409,7093,guarulhos,SP
SELLER_0410,31560,belo horizonte,MG
SELLER_0411,86800,apucarana,PR
SELLER_0412,88351,brusque,SC
SELLER_0413,8550,poa,SP
SELLER_0414,3471,sao paulo,SP
SELLER_0415,87047,maringa,PR
SELLER_0416,82040,curitiba,PR
SELLER_0417,15025,sao jose do rio preto,SP
SELLER_0418,35500,divinopolis,MG
SELLER_0419,13310,itu,SP
SELLER_0420,89217,joinville,SC
SELLER_0421,13375,mombuca,SP
SELLER_0422,9628,sao bernardo do campo,SP
SELLER_0423,6539,santana de parnaiba,SP
SELLER_0424,81350,curitiba,PR
SELLER_0425,14405,franca,SP
SELLER_0426,35700,sete lagoas,MG
SELLER_0427,37165,campo do meio,MG
SELLER_0428,8780,mogi das cruzes,SP
SELLER_0429,13219,jundiai,SP
SELLER_0430,17509,marilia,SP
SELLER_0431,60741,fortaleza,CE
SELLER_0432,3311,sao paulo,SP
SELLER_0433,13490,cordeiropolis,SP
SELLER_0434,38410,uberlandia,MG
SELLER_0435,75123,anapolis,GO
SELLER_0436,14092,ribeirao preto,SP
SELLER_0437,15085,sao jose do rio preto,SP
SELLER_0438,4578,sao paulo,SP
SELLER_0439,91310,porto alegre,RS
SELLER_0440,20756,rio de janeiro,RJ
SELLER_0441,1233,sao paulo,SP
SELLER_0442,8223,sao paulo,SP
SELLER_0443,4782,sao paulo,SP
SELLER_0444,83402,colombo,PR
SELLER_0445,9920,diadema,SP
SELLER_0446,13419,piracicaba,SP
SELLER_0447,20021,rio de janeiro,RJ
SELLER_0448,18072,sorocaba,SP
SELLER_0449,13456,santa barbara d oeste,SP
SELLER_0450,13920,pedreira,SP
SELLER_0451,86702,arapongas,PR
SELLER_0452,27277,volta redonda,SP
SELLER_0453,13660,porto ferreira,SP
SELLER_0454,89030,blumenau,SC
SELLER_0455,6787,taboao da serra,SP
SELLER_0456,81830,curitiba,PR
SELLER_0457,74210,goiania,GO
SELLER_0458,18070,sorocaba,SP
SELLER_0459,37580,monte siao,MG
SELLER_0460,13073,campinas,SP
SELLER_0461,89248,garuva,SC
SELLER_0462,38650,bonfinopolis de minas,MG
SELLER_0463,13150,cosmopolis,SP
SELLER_0464,14092,ribeirao preto,SP
SELLER_0465,15800,catanduva,SP
SELLER_0466,1215,sao paulo,SP
SELLER_0467,24451,sao goncalo,RJ
SELLER_0468,4386,sao paulo,SP
SELLER_0469,5547,sao paulo,SP
SELLER_0470,37706,pocos de caldas,MG
SELLER_0471,24725,sao goncalo,RJ
SELLER_0472,13160,artur nogueira,SP
SELLER_0473,11015,santos,SP
SELLER_0474,4209,sao paulo,SP
SELLER_0475,30575,belo horizonte,MG
SELLER_0476,20520,rio de janeiro,RJ
SELLER_0477,58030,joao pessoa,PB
SELLER_0478,17300,dois corregos,SP
SELLER_0479,89245,araquari,SC
SELLER_0480,1220,sao paulo,SP
SELLER_0481,90230,porto alegre,RS
SELLER_0482,31570,belo horizonte,SP
SELLER_0483,36500,uba,MG
SELLER_0484,93310,"novo hamburgo, rio grande do sul, brasil",RS
SELLER_0485,80330,curitiba,PR
SELLER_0486,89218,joinville,SC
SELLER_0487,88056,floranopolis,SC
SELLER_0488,15155,jaci,SP
SELLER_0489,13170,sumare,SP
SELLER_0490,83070,sao jose dos pinhais,PR
SELLER_0491,9350,maua,SP
SELLER_0492,2118,sao paulo,SP
SELLER_0493,12242,sao jose dos campos,SP
SELLER_0494,29313,cachoeiro de itapemirim,ES
SELLER_0495,14150,serrana,SP
SELLER_0496,5108,sao paulo,SP
SELLER_0497,86604,rolandia,PR
SELLER_0498,4360,sao paulo,SP
SELLER_0499,23062,rio de janeiro,RJ
SELLER_0500,3029,sao paulo,SP
SELLER_0501,4054,sao paulo,SP
SELLER_0502,36415,congonhas,MG
SELLER_0503,15046,sao jose do rio preto,SP
SELLER_0504,5537,sao paulo,SP
SELLER_0505,12943,atibaia,SP
SELLER_0506,6852,itapecerica da serra,SP
SELLER_0507,83091,sao  jose dos pinhais,PR
SELLER_0508,18035,sorocaba,SP
SELLER_0509,18550,boituva,SP
SELLER_0510,13405,piracicaba,SP
SELLER_0511,3275,sao paulo,SP
SELLER_0512,14400,franca,SP
SELLER_0513,88495,garopaba,SC
SELLER_0514,90010,porto alegre,RS
SELLER_0515,17604,tupa,SP
SELLER_0516,3612,sao paulo,SP
SELLER_0517,5268,sao paulo,SP
SELLER_0518,13660,porto ferreira,SP
SELLER_0519,3059,sao paulo,SP
SELLER_0520,7600,mairipora,SP
SELLER_0521,1547,sao paulo,SP
SELLER_0522,13041,campinas,SP
SELLER_0523,95360,parai,RS
SELLER_0524,17700,osvaldo cruz,SP
SELLER_0525,37706,pocos de caldas,MG
SELLER_0526,28495,aperibe,RJ
SELLER_0527,17605,tupa,SP
SELLER_0528,80610,curitiba,PR
SELLER_0529,18053,sorocaba,SP
SELLER_0530,88715,jaguaruna,SC
SELLER_0531,86707,arapongas,PR
SELLER_0532,26210,nova iguacu,RJ
SELLER_0533,8250,sao paulo,SP
SELLER_0534,14801,araraquara,SP
SELLER_0535,9182,santo andre,SP
SELLER_0536,89210,joinville,SC
SELLER_0537,13085,campinas,SP
SELLER_0538,21070,rio de janeiro,RJ
SELLER_0539,7194,guarulhos,SP
SELLER_0540,36052,juiz de fora,MG
SELLER_0541,23080,rio de janeiro,RJ
SELLER_0542,38230,fronteira,MG
SELLER_0543,14960,novo horizonte,SP
SELLER_0544,18185,pilar do sul,SP
SELLER_0545,15840,itajobi,SP
SELLER_0546,87050,maringa,PR
SELLER_0547,4815,sao paulo,SP
SELLER_0548,29142,cariacica / es,ES
SELLER_0549,36320,prados,MG
